epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3722,2.77369,4.05809,1.52304,0.00803,0.01173,0.00914,0.00393,2.67343,4.04254,1.4379,2.858e-05,2.858e-05,2.858e-05
2,28.6737,2.59713,3.93622,1.45532,0.0139,0.01695,0.01209,0.00549,2.53127,4.00596,1.34779,7.00353e-05,7.00353e-05,7.00353e-05
3,41.5656,2.43852,3.71767,1.35868,0.02247,0.02347,0.02095,0.00959,2.31613,3.95539,1.25638,0.000109793,0.000109793,0.000109793
4,53.7368,2.35937,3.32996,1.2558,0.0386,0.02868,0.0394,0.01784,2.18333,3.88385,1.17634,0.000147853,0.000147853,0.000147853
5,66.8019,2.29378,2.76476,1.15774,0.05521,0.0352,0.05294,0.02647,2.15417,3.79145,1.13413,0.000184215,0.000184215,0.000184215
6,79.5687,2.21954,2.24733,1.09176,0.12609,0.07562,0.10803,0.05025,2.16249,3.70271,1.12176,0.00021888,0.00021888,0.00021888
7,92.2368,2.22018,2.11184,1.08484,0.23293,0.15124,0.21428,0.0834,2.2052,3.56827,1.12069,0.000251847,0.000251847,0.000251847
8,104.476,2.19834,1.83841,1.08619,0.23239,0.1721,0.22892,0.09139,2.20757,3.47765,1.11453,0.000283116,0.000283116,0.000283116
9,116.825,2.13652,1.72769,1.05444,0.25275,0.2399,0.26611,0.11397,2.21006,3.29102,1.11531,0.000312688,0.000312688,0.000312688
10,129.192,2.20615,1.74903,1.11564,0.3246,0.29074,0.31977,0.13047,2.17434,3.21246,1.10716,0.000340562,0.000340562,0.000340562
11,142.274,2.20442,1.633,1.06495,0.36005,0.36897,0.37822,0.15319,2.18774,3.03577,1.10734,0.000366739,0.000366739,0.000366739
12,155.235,2.17828,1.57069,1.06094,0.35354,0.41069,0.40381,0.15776,2.19101,2.91844,1.10271,0.000391217,0.000391217,0.000391217
13,168.582,2.14675,1.52414,1.06353,0.31149,0.47718,0.41958,0.15902,2.19084,2.73275,1.11709,0.000413998,0.000413998,0.000413998
14,181.772,2.16825,1.47618,1.05875,0.27286,0.4824,0.39959,0.15779,2.19526,2.66895,1.12779,0.000435082,0.000435082,0.000435082
15,194.51,2.11459,1.45531,1.05298,0.29253,0.52282,0.39292,0.1412,2.23459,2.48986,1.13132,0.000454468,0.000454468,0.000454468
16,207.572,2.06316,1.38865,1.03229,0.57089,0.36636,0.4065,0.14573,2.2149,2.35012,1.12119,0.000472156,0.000472156,0.000472156
17,220.601,2.11604,1.39254,1.03281,0.55971,0.32203,0.38267,0.13714,2.25023,2.2054,1.14027,0.000488146,0.000488146,0.000488146
18,233.688,2.08702,1.4029,1.0762,0.54208,0.33768,0.38844,0.13952,2.24264,2.15855,1.14381,0.000502439,0.000502439,0.000502439
19,246.99,1.98219,1.32832,1.03626,0.52019,0.35055,0.39255,0.13772,2.24034,2.12036,1.13712,0.000515034,0.000515034,0.000515034
20,260.683,2.0474,1.33548,1.04267,0.55022,0.34132,0.4034,0.14494,2.20618,2.08735,1.12428,0.000525932,0.000525932,0.000525932
21,273.834,2.04886,1.34808,1.05901,0.56906,0.35724,0.41461,0.15313,2.14945,2.04457,1.1113,0.000535132,0.000535132,0.000535132
22,286.719,1.99358,1.30081,1.03182,0.5725,0.36375,0.4205,0.15733,2.11171,2.01938,1.10163,0.000542634,0.000542634,0.000542634
23,299.892,2.05005,1.29128,1.03211,0.58234,0.34681,0.41303,0.15406,2.14127,2.02359,1.11535,0.000548439,0.000548439,0.000548439
24,313.192,2.01048,1.30583,1.01626,0.54984,0.36787,0.41076,0.15616,2.13754,1.96952,1.11543,0.000552546,0.000552546,0.000552546
25,325.934,2.07581,1.36747,1.05758,0.51879,0.44417,0.4296,0.16169,2.14806,1.83805,1.10347,0.000554955,0.000554955,0.000554955
26,339.058,2.03338,1.27066,1.02925,0.50568,0.49349,0.43573,0.16271,2.12734,1.73439,1.0833,0.000555667,0.000555667,0.000555667
27,353.015,2.0052,1.23948,1.03201,0.50262,0.49143,0.44908,0.16542,2.14093,1.69494,1.08743,0.000554681,0.000554681,0.000554681
28,366.355,1.99135,1.22806,1.01228,0.49136,0.47458,0.4367,0.16061,2.18691,1.69469,1.10059,0.000551997,0.000551997,0.000551997
29,379.405,1.94397,1.21161,1.01196,0.49136,0.47458,0.4367,0.16061,2.18691,1.69469,1.10059,0.000547616,0.000547616,0.000547616
30,393.487,1.99075,1.26647,1.02817,0.51315,0.47327,0.45918,0.16716,2.17994,1.64028,1.10429,0.000541537,0.000541537,0.000541537
